County,State,Dem,Rep
Autauga,AL,27.02,71.44
Baldwin,AL,22.41,76.17
Barbour,AL,45.79,53.45
Bibb,AL,20.7,78.43
Blount,AL,9.57,89.57
Bullock,AL,74.7,24.84
Butler,AL,41.79,57.53
Calhoun,AL,29.85,68.85
Chambers,AL,41.64,57.27
Cherokee,AL,13.2,86.03
Chilton,AL,15.91,83.3
Choctaw,AL,41.89,57.56
Clarke,AL,43.81,55.76
Clay,AL,18.28,80.82
Cleburne,AL,9.34,89.72
Coffee,AL,22.79,75.87
Colbert,AL,29.92,68.86
Conecuh,AL,46.05,53.44
Coosa,AL,32.78,66.27
Covington,AL,15.61,83.68
Crenshaw,AL,25.69,73.51
Cullman,AL,10.7,88.12
Dale,AL,26.19,72.46
Dallas,AL,68.46,30.92
De Kalb,AL,14.58,84.37
Elmore,AL,25.27,73.52
Escambia,AL,30.91,68.32
Etowah,AL,24.24,74.44
Fayette,AL,15.91,83.28
Franklin,AL,16.58,82.49
Geneva,AL,12.71,86.47
Greene,AL,81.34,18.32
Hale,AL,59.03,40.41
Henry,AL,28.03,71.06
Houston,AL,27.98,70.64
Jackson,AL,15.73,83.22
Jefferson,AL,55.76,42.61
Lamar,AL,13.6,85.83
Lauderdale,AL,26.87,71.54
Lawrence,AL,22.22,76.86
Lee,AL,38.99,59.09
Limestone,AL,27.77,70.36
Lowndes,AL,72.74,26.86
Macon,AL,81.49,17.67
Madison,AL,44.82,52.77
Marengo,AL,50.35,49.02
Marion,AL,10.6,88.4
Marshall,AL,14.99,83.7
Mobile,AL,43.39,55.27
Monroe,AL,41.76,57.62
Montgomery,AL,65.09,33.6
Morgan,AL,24.63,73.83
Perry,AL,73.8,25.6
Pickens,AL,41.6,57.86
Pike,AL,40.72,58.1
Randolph,AL,20.33,78.98
Russell,AL,52.64,46.25
St Clair,AL,17.43,81.38
Shelby,AL,28.94,69.33
Sumter,AL,73.88,25.4
Talladega,AL,36.84,62.35
Tallapoosa,AL,27.91,71.28
Tuscaloosa,AL,41.88,56.69
Walker,AL,15.51,83.42
Washington,AL,25.44,73.95
Wilcox,AL,68.58,31.05
Winston,AL,8.63,90.35
Aleutians East,AK,0.0,0.0
Aleutians West,AK,0.0,0.0
Anchorage,AK,0.0,0.0
Bethel,AK,0.0,0.0
Bristol Bay,AK,0.0,0.0
Denali,AK,0.0,0.0
Dillingham,AK,0.0,0.0
Fairbanks North Star,AK,0.0,0.0
Haines,AK,0.0,0.0
Juneau,AK,0.0,0.0
Kenai Peninsula,AK,0.0,0.0
Ketchikan Gateway,AK,0.0,0.0
Kodiak Island,AK,0.0,0.0
Lake and Peninsula,AK,0.0,0.0
Matanuska-Susitna,AK,0.0,0.0
Nome,AK,0.0,0.0
North Slope,AK,0.0,0.0
Northwest Arctic,AK,0.0,0.0
Prince of Wales-Outer Ketchikan,AK,0.0,0.0
Sitka,AK,0.0,0.0
Skagway-Hoonah-Angoon,AK,0.0,0.0
Southeast Fairbanks,AK,0.0,0.0
Valdez-Cordova,AK,0.0,0.0
Wade Hampton,AK,0.0,0.0
Wrangell-Petersburg,AK,0.0,0.0
Yakutat,AK,0.0,0.0
Yukon-Koyukuk,AK,0.0,0.0
